Metric,Metric_Method,MetricType,MetricSubtype,MetricForm,Use,UseNotes
Arth_Rich,Arth_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Arth_Abund,Arth_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Insect_Rich,Insect_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Insect_RelRich,Insect_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Insect_Abund,Insect_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Insect_RelAbund,Insect_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Noninsect_Rich,Noninsect_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Noninsect_RelRich,Noninsect_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Noninsect_Abund,Noninsect_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Noninsect_RelAbund,Noninsect_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Coleo_Rich,Coleo_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Coleo_RelRich,Coleo_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Coleo_Abund,Coleo_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Coleo_RelAbund,Coleo_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Araneae_Rich,Araneae_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Araneae_RelRich,Araneae_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Araneae_Abund,Araneae_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Araneae_RelAbund,Araneae_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Araneae_Nat_Rich,Araneae_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Araneae_Nat_RelRich,Araneae_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Araneae_Nat_Abund,Araneae_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Araneae_Nat_RelAbund,Araneae_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Formicidae_Rich,Formicidae_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Formicidae_RelRich,Formicidae_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Formicidae_Abund,Formicidae_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Formicidae_RelAbund,Formicidae_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Formicidae_Nat_Rich,Formicidae_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Formicidae_Nat_RelRich,Formicidae_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Formicidae_Nat_Abund,Formicidae_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Formicidae_Nat_RelAbund,Formicidae_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
CAF_Rich,CAF_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
CAF_RelRich,CAF_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
CAF_Abund,CAF_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
CAF_RelAbund,CAF_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
CAF_Nat_Rich,CAF_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
CAF_Nat_RelRich,CAF_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
CAF_Nat_Abund,CAF_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
CAF_Nat_RelAbund,CAF_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Nonnat_KRich,Nonnat_KRich_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
Nonnat_Rich,Nonnat_Rich_Trap,Arth_Trap,Invasiveness,Richness,TRUE,
Nonnat_RelRich,Nonnat_RelRich_Trap,Arth_Trap,Invasiveness,Relative richness,TRUE,
Nonnat_KAbund,Nonnat_KAbund_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
Nonnat_Abund,Nonnat_Abund_Trap,Arth_Trap,Invasiveness,Abundance,TRUE,
Nonnat_RelAbund,Nonnat_RelAbund_Trap,Arth_Trap,Invasiveness,Relative abundance,TRUE,
NonnatSynanth_KRich,NonnatSynanth_KRich_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
NonnatSynanth_Rich,NonnatSynanth_Rich_Trap,Arth_Trap,Invasiveness,Richness,TRUE,
NonnatSynanth_RelRich,NonnatSynanth_RelRich_Trap,Arth_Trap,Invasiveness,Relative richness,TRUE,
NonnatSynanth_KAbund,NonnatSynanth_KAbund_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
NonnatSynanth_Abund,NonnatSynanth_Abund_Trap,Arth_Trap,Invasiveness,Abundance,TRUE,
NonnatSynanth_RelAbund,NonnatSynanth_RelAbund_Trap,Arth_Trap,Invasiveness,Relative abundance,TRUE,
LinEpi_Rich,LinEpi_Rich_Trap,Arth_Trap,Invasiveness,Richness,TRUE,
LinEpi_RelRich,LinEpi_RelRich_Trap,Arth_Trap,Invasiveness,Relative richness,TRUE,
LinEpi_Abund,LinEpi_Abund_Trap,Arth_Trap,Invasiveness,Abundance,TRUE,
LinEpi_RelAbund,LinEpi_RelAbund_Trap,Arth_Trap,Invasiveness,Relative abundance,TRUE,
Aquatic_KRich,Aquatic_KRich_Trap,Arth_Trap,Habitat,Interim,FALSE,
Aquatic_Rich,Aquatic_Rich_Trap,Arth_Trap,Habitat,Richness,TRUE,
Aquatic_RelRich,Aquatic_RelRich_Trap,Arth_Trap,Habitat,Relative richness,TRUE,
Aquatic_KAbund,Aquatic_KAbund_Trap,Arth_Trap,Habitat,Interim,FALSE,
Aquatic_Abund,Aquatic_Abund_Trap,Arth_Trap,Habitat,Abundance,TRUE,
Aquatic_RelAbund,Aquatic_RelAbund_Trap,Arth_Trap,Habitat,Relative abundance,TRUE,
StratumFinal_KRich,StratumFinal_KRich_Trap,Arth_Trap,Habitat,Interim,FALSE,
StratumFinal_KAbund,StratumFinal_KAbund_Trap,Arth_Trap,Habitat,Interim,FALSE,
Ground_Rich,Ground_Rich_Trap,Arth_Trap,Habitat,Richness,TRUE,
Ground_RelRich,Ground_RelRich_Trap,Arth_Trap,Habitat,Relative richness,TRUE,
Ground_Abund,Ground_Abund_Trap,Arth_Trap,Habitat,Abundance,TRUE,
Ground_RelAbund,Ground_RelAbund_Trap,Arth_Trap,Habitat,Relative abundance,TRUE,
Herbaceous_Rich,Herbaceous_Rich_Trap,Arth_Trap,Habitat,Richness,TRUE,
Herbaceous_RelRich,Herbaceous_RelRich_Trap,Arth_Trap,Habitat,Relative richness,TRUE,
Herbaceous_Abund,Herbaceous_Abund_Trap,Arth_Trap,Habitat,Abundance,TRUE,
Herbaceous_RelAbund,Herbaceous_RelAbund_Trap,Arth_Trap,Habitat,Relative abundance,TRUE,
Arboreal_Rich,Arboreal_Rich_Trap,Arth_Trap,Habitat,Richness,TRUE,
Arboreal_RelRich,Arboreal_RelRich_Trap,Arth_Trap,Habitat,Relative richness,TRUE,
Arboreal_Abund,Arboreal_Abund_Trap,Arth_Trap,Habitat,Abundance,TRUE,
Arboreal_RelAbund,Arboreal_RelAbund_Trap,Arth_Trap,Habitat,Relative abundance,TRUE,
FFG_KRich,FFG_KRich_Trap,Arth_Trap,Feeding,Interim,FALSE,
FFG_KAbund,FFG_KAbund_Trap,Arth_Trap,Feeding,Interim,FALSE,
Detritivore_Rich,Detritivore_Rich_Trap,Arth_Trap,Feeding,Richness,TRUE,
Detritivore_RelRich,Detritivore_RelRich_Trap,Arth_Trap,Feeding,Relative richness,TRUE,
Detritivore_Abund,Detritivore_Abund_Trap,Arth_Trap,Feeding,Abundance,TRUE,
Detritivore_RelAbund,Detritivore_RelAbund_Trap,Arth_Trap,Feeding,Relative abundance,TRUE,
Fungivore_Rich,Fungivore_Rich_Trap,Arth_Trap,Feeding,Richness,TRUE,
Fungivore_RelRich,Fungivore_RelRich_Trap,Arth_Trap,Feeding,Relative richness,TRUE,
Fungivore_Abund,Fungivore_Abund_Trap,Arth_Trap,Feeding,Abundance,TRUE,
Fungivore_RelAbund,Fungivore_RelAbund_Trap,Arth_Trap,Feeding,Relative abundance,TRUE,
DetrFung_Rich,DetrFung_Rich_Trap,Arth_Trap,Feeding,Richness,TRUE,
DetrFung_RelRich,DetrFung_RelRich_Trap,Arth_Trap,Feeding,Relative richness,TRUE,
DetrFung_Abund,DetrFung_Abund_Trap,Arth_Trap,Feeding,Abundance,TRUE,
DetrFung_RelAbund,DetrFung_RelAbund_Trap,Arth_Trap,Feeding,Relative abundance,TRUE,
Predator_Rich,Predator_Rich_Trap,Arth_Trap,Feeding,Richness,TRUE,
Predator_RelRich,Predator_RelRich_Trap,Arth_Trap,Feeding,Relative richness,TRUE,
Predator_Abund,Predator_Abund_Trap,Arth_Trap,Feeding,Abundance,TRUE,
Predator_RelAbund,Predator_RelAbund_Trap,Arth_Trap,Feeding,Relative abundance,TRUE,
FFG_d_KRich,FFG_d_KRich_Trap,Arth_Trap,Feeding,Interim,FALSE,
FFG_d_KAbund,FFG_d_KAbund_Trap,Arth_Trap,Feeding,Interim,FALSE,
PredatorGround_Rich,PredatorGround_Rich_Trap,Arth_Trap,Habitat,Richness,TRUE,
PredatorGround_RelRich,PredatorGround_RelRich_Trap,Arth_Trap,Habitat,Relative richness,TRUE,
PredatorGround_Abund,PredatorGround_Abund_Trap,Arth_Trap,Habitat,Abundance,TRUE,
PredatorGround_RelAbund,PredatorGround_RelAbund_Trap,Arth_Trap,Habitat,Relative abundance,TRUE,
BodySize_KRich,BodySize_KRich_Trap,Arth_Trap,Morphology,Interim,FALSE,
BodySize_KAbund,BodySize_KAbund_Trap,Arth_Trap,Morphology,Interim,FALSE,
BodySizeSmall_Rich,BodySizeSmall_Rich_Trap,Arth_Trap,Morphology,Richness,TRUE,
BodySizeSmall_RelRich,BodySizeSmall_RelRich_Trap,Arth_Trap,Morphology,Relative richness,TRUE,
BodySizeSmall_Abund,BodySizeSmall_Abund_Trap,Arth_Trap,Morphology,Abundance,TRUE,
BodySizeSmall_RelAbund,BodySizeSmall_RelAbund_Trap,Arth_Trap,Morphology,Relative abundance,TRUE,
BodySizeMedium_Rich,BodySizeMedium_Rich_Trap,Arth_Trap,Morphology,Richness,TRUE,
BodySizeMedium_RelRich,BodySizeMedium_RelRich_Trap,Arth_Trap,Morphology,Relative richness,TRUE,
BodySizeMedium_Abund,BodySizeMedium_Abund_Trap,Arth_Trap,Morphology,Abundance,TRUE,
BodySizeMedium_RelAbund,BodySizeMedium_RelAbund_Trap,Arth_Trap,Morphology,Relative abundance,TRUE,
BodySizeLarge_Rich,BodySizeLarge_Rich_Trap,Arth_Trap,Morphology,Richness,TRUE,
BodySizeLarge_RelRich,BodySizeLarge_RelRich_Trap,Arth_Trap,Morphology,Relative richness,TRUE,
BodySizeLarge_Abund,BodySizeLarge_Abund_Trap,Arth_Trap,Morphology,Abundance,TRUE,
BodySizeLarge_RelAbund,BodySizeLarge_RelAbund_Trap,Arth_Trap,Morphology,Relative abundance,TRUE,
BodySizeLargest,BodySizeLargest_Trap,Arth_Trap,Morphology,Other,TRUE,
BodySizeAverage,BodySizeAverage_Trap,Arth_Trap,Morphology,Other,TRUE,
Dispersal_KRich,Dispersal_KRich_Trap,Arth_Trap,Dispersal,Interim,FALSE,
Dispersal_KAbund,Dispersal_KAbund_Trap,Arth_Trap,Dispersal,Interim,FALSE,
DisperserPoor_Rich,DisperserPoor_Rich_Trap,Arth_Trap,Dispersal,Richness,TRUE,
DisperserPoor_RelRich,DisperserPoor_RelRich_Trap,Arth_Trap,Dispersal,Relative richness,TRUE,
DisperserPoor_Abund,DisperserPoor_Abund_Trap,Arth_Trap,Dispersal,Abundance,TRUE,
DisperserPoor_RelAbund,DisperserPoor_RelAbund_Trap,Arth_Trap,Dispersal,Relative abundance,TRUE,
DisperserGood_Rich,DisperserGood_Rich_Trap,Arth_Trap,Dispersal,Richness,TRUE,
DisperserGood_RelRich,DisperserGood_RelRich_Trap,Arth_Trap,Dispersal,Relative richness,TRUE,
DisperserGood_Abund,DisperserGood_Abund_Trap,Arth_Trap,Dispersal,Abundance,TRUE,
DisperserGood_RelAbund,DisperserGood_RelAbund_Trap,Arth_Trap,Dispersal,Relative abundance,TRUE,
TempTol_KRich,TempTol_KRich_Trap,Arth_Trap,Thermal tolerance,Interim,FALSE,
TempTol_KAbund,TempTol_KAbund_Trap,Arth_Trap,Thermal tolerance,Interim,FALSE,
TempTolHigh_Rich,TempTolHigh_Rich_Trap,Arth_Trap,Thermal tolerance,Richness,FALSE,Incomplete trait info
TempTolHigh_RelRich,TempTolHigh_RelRich_Trap,Arth_Trap,Thermal tolerance,Relative richness,FALSE,Incomplete trait info
TempTolHigh_Abund,TempTolHigh_Abund_Trap,Arth_Trap,Thermal tolerance,Abundance,FALSE,Incomplete trait info
TempTolHigh_RelAbund,TempTolHigh_RelAbund_Trap,Arth_Trap,Thermal tolerance,Relative abundance,FALSE,Incomplete trait info
TempTolAverage,TempTolAverage_Trap,Arth_Trap,Thermal tolerance,Other,FALSE,Incomplete trait info
TempTolMax,TempTolMax_Trap,Arth_Trap,Thermal tolerance,Other,FALSE,Incomplete trait info
Arth_Rich,Arth_Rich_Veg,Arth_Veg,Taxonomic,Richness,TRUE,
Arth_Abund,Arth_Abund_Veg,Arth_Veg,Taxonomic,Abundance,TRUE,
